colorid,colorname
1,beige
2,black
3,blue
4,brown
5,burgundy
6,charcoal
7,gold
8,gray
9,green
10,lime
11,off-white
12,orange
13,pink
14,purple
15,red
16,silver
17,tan
18,turquoise
19,white
20,yellow
